"","STATE","SOURCE","LATITUDE","LONGITUDE","SUB.SPP","Year"
"1","Maine","VegBank",44.346509409,-68.229339874,"Absence of ATTR",1998
"2","Maine","VegBank",44.340020888,-68.227053809,"Absence of ATTR",1998
"3","Maine","VegBank",44.339580377,-68.227147405,"Absence of ATTR",1998
"4","Maine","VegBank",44.335814862,-68.224148622,"Absence of ATTR",1998
"5","Maine","VegBank",44.327384142,-68.287183168,"Absence of ATTR",1998
"6","Maine","VegBank",44.327751651,-68.288370212,"Absence of ATTR",1998
"7","Maine","VegBank",44.3613842,-68.282228583,"Absence of ATTR",1998
"8","Maine","VegBank",44.361479601,-68.281650156,"Absence of ATTR",1998
"9","Maine","VegBank",44.359433829,-68.284184884,"Absence of ATTR",1998
"10","Maine","VegBank",44.381379211,-68.296659508,"Absence of ATTR",1998
"11","Maine","VegBank",44.379953499,-68.29466806,"Absence of ATTR",1998
"12","Maine","VegBank",44.396517562,-68.23159758,"Absence of ATTR",1998
"13","Maine","VegBank",44.366614785,-68.211129178,"Absence of ATTR",1997
"14","Maine","VegBank",44.371291257,-68.210401226,"Absence of ATTR",1997
"15","Maine","VegBank",44.369812761,-68.211412624,"Absence of ATTR",1997
"16","Maine","VegBank",44.369030013,-68.210180557,"Absence of ATTR",1997
"17","Maine","VegBank",44.323677053,-68.25779396,"Absence of ATTR",1998
"18","Maine","VegBank",44.32327855,-68.260206863,"Absence of ATTR",1998
"19","Maine","VegBank",44.321141452,-68.259681909,"Absence of ATTR",1998
"20","Maine","VegBank",44.315368975,-68.265020964,"Absence of ATTR",1998
"21","Maine","VegBank",44.312032298,-68.262755459,"Absence of ATTR",1998
"22","Maine","VegBank",44.307986003,-68.262141563,"Absence of ATTR",1998
"23","Maine","VegBank",44.33413784,-68.266066199,"Absence of ATTR",1998
"24","Maine","VegBank",44.336476375,-68.269938198,"Absence of ATTR",1998
"25","Maine","VegBank",44.340615434,-68.270990817,"Absence of ATTR",1998
"26","Maine","VegBank",44.343038411,-68.272591701,"Absence of ATTR",1998
"27","Maine","VegBank",44.361873297,-68.206361161,"Absence of ATTR",1998
"28","Maine","VegBank",44.356311395,-68.275853287,"Absence of ATTR",1998
"29","Maine","VegBank",44.356864616,-68.277916934,"Absence of ATTR",1998
"30","Maine","VegBank",44.355767745,-68.271054101,"Absence of ATTR",1998
"31","Maine","VegBank",44.343022408,-68.258879928,"Absence of ATTR",1998
"32","Maine","VegBank",44.348895486,-68.262155907,"Absence of ATTR",1998
"33","Maine","VegBank",44.350185195,-68.263908837,"Absence of ATTR",1998
"34","Maine","VegBank",44.383919439,-68.254246872,"Absence of ATTR",1998
"35","Maine","VegBank",44.370397717,-68.257104264,"Absence of ATTR",1998
"36","Maine","VegBank",44.370743598,-68.254915992,"Absence of ATTR",1998
"37","Maine","VegBank",44.345083668,-68.272842436,"Absence of ATTR",1998
"38","Maine","VegBank",44.344850385,-68.268730344,"Absence of ATTR",1998
"39","Maine","VegBank",44.355342371,-68.494198563,"Absence of ATTR",1998
"40","Maine","VegBank",44.354718173,-68.495559088,"Absence of ATTR",1998
"41","Maine","VegBank",44.353897847,-68.49941823,"Absence of ATTR",1998
"42","Maine","VegBank",44.352837442,-68.225191576,"Absence of ATTR",1998
"43","Maine","VegBank",44.363818937,-68.228887271,"Absence of ATTR",1998
"44","Maine","VegBank",44.356500358,-68.491402921,"Absence of ATTR",1998
"45","Maine","VegBank",44.333301265,-68.188846687,"Absence of ATTR",1998
"46","Maine","VegBank",44.33160839,-68.181218684,"Absence of ATTR",1998
"47","Maine","VegBank",44.31320715,-68.340143498,"Absence of ATTR",1998
"48","Maine","VegBank",44.325978202,-68.37466555,"Absence of ATTR",1998
"49","Maine","VegBank",44.319468265,-68.384478421,"Absence of ATTR",1998
"50","Maine","VegBank",44.332700037,-68.375697973,"Absence of ATTR",1998
"51","Maine","VegBank",44.398150487,-68.25111539,"Absence of ATTR",1998
"52","Maine","VegBank",44.393883196,-68.256644231,"Absence of ATTR",1998
"53","Maine","VegBank",44.396748056,-68.25972206,"Absence of ATTR",1998
"54","Maine","VegBank",44.382689912,-68.254839938,"Absence of ATTR",1998
"55","Maine","VegBank",44.380600276,-68.254690675,"Absence of ATTR",1998
"56","Maine","VegBank",44.36323766,-68.260846603,"Absence of ATTR",1998
"57","Maine","VegBank",44.367144724,-68.258036424,"Absence of ATTR",1998
"58","Maine","VegBank",44.360047625,-68.263170575,"Absence of ATTR",1998
"59","Maine","VegBank",44.37208509,-68.230448291,"Absence of ATTR",1998
"60","Maine","VegBank",44.370066191,-68.235482688,"Absence of ATTR",1998
"61","Maine","VegBank",44.36667353,-68.282967269,"Absence of ATTR",1998
"62","Maine","VegBank",44.365555781,-68.272765139,"Absence of ATTR",1998
"63","Maine","VegBank",44.363153111,-68.277199732,"Absence of ATTR",1998
"64","Maine","VegBank",44.375944074,-68.26136474,"Absence of ATTR",1998
"65","Maine","VegBank",44.337581398,-68.376022546,"Absence of ATTR",1998
"66","Maine","VegBank",44.336010628,-68.378547945,"Absence of ATTR",1998
"67","Maine","VegBank",44.359935886,-68.202220966,"Absence of ATTR",1997
"68","Maine","VegBank",44.368945923,-68.192974135,"Absence of ATTR",1998
"69","Maine","VegBank",44.369854059,-68.19026315,"Absence of ATTR",1998
"70","Maine","VegBank",44.363241368,-68.187078643,"Absence of ATTR",1998
"71","Maine","VegBank",44.357936233,-68.1854704,"Absence of ATTR",1998
"72","Maine","VegBank",44.340970499,-68.047395088,"Absence of ATTR",1998
"73","Maine","VegBank",44.335727649,-68.061165397,"Absence of ATTR",1998
"74","Maine","VegBank",44.325755182,-68.297461895,"Absence of ATTR",1998
"75","Maine","VegBank",44.326232362,-68.296001369,"Absence of ATTR",1998
"76","Maine","VegBank",44.377170964,-68.304856444,"Absence of ATTR",1998
"77","Maine","VegBank",44.326019801,-68.329552807,"Absence of ATTR",1998
"78","Maine","VegBank",44.325835102,-68.32417456,"Absence of ATTR",1998
"79","Maine","VegBank",44.325794286,-68.320324758,"Absence of ATTR",1998
"80","Maine","VegBank",44.32063032,-68.317926391,"Absence of ATTR",1998
"81","Maine","VegBank",44.32217376,-68.326185469,"Absence of ATTR",1998
"82","Maine","VegBank",44.311023946,-68.336255942,"Absence of ATTR",1998
"83","Maine","VegBank",44.354666105,-68.182654703,"Absence of ATTR",1998
"84","Maine","VegBank",44.351169203,-68.184648094,"Absence of ATTR",1998
"85","Maine","VegBank",44.340800182,-68.177427714,"Absence of ATTR",1998
"86","Maine","VegBank",44.335951923,-68.190654157,"Absence of ATTR",1998
"87","Maine","VegBank",44.334339403,-68.190513248,"Absence of ATTR",1998
"88","Maine","VegBank",44.348474035,-68.256854053,"Absence of ATTR",1998
"89","Maine","VegBank",44.347725224,-68.256612581,"Absence of ATTR",1998
"90","Maine","VegBank",44.343754553,-68.255169814,"Absence of ATTR",1998
"91","Maine","VegBank",44.349269409,-68.243594664,"Absence of ATTR",1998
"92","Maine","VegBank",44.050289499,-68.617176323,"Absence of ATTR",1998
"93","Maine","VegBank",44.050582888,-68.616063404,"Absence of ATTR",1998
"94","Maine","VegBank",44.050717372,-68.613216291,"Absence of ATTR",1998
"95","Maine","VegBank",44.05046452,-68.61033425,"Absence of ATTR",1998
"96","Maine","VegBank",44.05555087,-68.640476093,"Absence of ATTR",1998
"97","Maine","VegBank",44.060642083,-68.627722486,"Absence of ATTR",1998
"98","Maine","VegBank",44.059687382,-68.627616091,"Absence of ATTR",1998
"99","Maine","VegBank",44.060564981,-68.634540105,"Absence of ATTR",1998
"100","Maine","VegBank",44.044837438,-68.63496122,"Absence of ATTR",1998
"101","Maine","VegBank",44.0249974,-68.630416002,"Absence of ATTR",1998
"102","Maine","VegBank",44.026694183,-68.631703238,"Absence of ATTR",1998
"103","Maine","VegBank",44.027174392,-68.635468806,"Absence of ATTR",1998
"104","Maine","VegBank",44.022581539,-68.655498575,"Absence of ATTR",1998
"105","Maine","VegBank",44.026994139,-68.649857697,"Absence of ATTR",1998
"106","Maine","VegBank",44.351858251,-68.204513714,"Absence of ATTR",1998
"107","Maine","VegBank",44.353001598,-68.226833164,"Absence of ATTR",1998
"108","Maine","VegBank",44.354694455,-68.796794907,"Absence of ATTR",1998
"109","Maine","VegBank",44.349236324,-68.22786128,"Absence of ATTR",1998
"110","Maine","VegBank",44.346036432,-68.048153725,"Absence of ATTR",1998
"111","Maine","VegBank",44.343921905,-68.046130404,"Absence of ATTR",1998
"112","Maine","VegBank",44.377016769,-68.218220076,"Absence of ATTR",1997
"113","Maine","VegBank",44.348048789,-68.205631659,"Absence of ATTR",1997
"114","Wyoming","VegBank",42.19779971,-104.541130473,"Absence of ATTR",1997
"115","Nebraska","VegBank",42.423128347,-103.726825535,"Absence of ATTR",1997
"116","Nebraska","VegBank",42.421559556,-103.775415992,"Absence of ATTR",1997
"117","Nebraska","VegBank",42.421459601,-103.775332856,"Absence of ATTR",1997
"118","Nebraska","VegBank",42.416202405,-103.774706083,"Absence of ATTR",1997
"119","Nebraska","VegBank",42.420779708,-103.725378094,"Absence of ATTR",1997
"120","Nebraska","VegBank",42.415289641,-103.738724798,"Absence of ATTR",1997
"121","Nebraska","VegBank",42.414267605,-103.729362826,"Absence of ATTR",1997
"122","Nebraska","VegBank",42.422612184,-103.732257164,"Absence of ATTR",1997
"123","Nebraska","VegBank",42.422971887,-103.736285418,"Absence of ATTR",1997
"125","Nebraska","VegBank",42.423869333,-103.739269734,"Absence of ATTR",1997
"126","Nebraska","VegBank",42.426612597,-103.729976225,"Absence of ATTR",1997
"127","Nebraska","VegBank",42.423068862,-103.737729934,"Absence of ATTR",1997
"128","Nebraska","VegBank",42.425429851,-103.790462109,"Absence of ATTR",1997
"129","Nebraska","VegBank",42.424548567,-103.731452296,"Absence of ATTR",1997
"130","Nebraska","VegBank",42.422413947,-103.734692174,"Absence of ATTR",1997
"131","Nebraska","VegBank",42.423254459,-103.789993472,"Absence of ATTR",1997
"132","Nebraska","VegBank",42.416171786,-103.773527762,"Absence of ATTR",1997
"133","Nebraska","VegBank",42.422812205,-103.790755605,"Absence of ATTR",1997
"134","Nebraska","VegBank",42.416328564,-103.771349167,"Absence of ATTR",1997
"135","Nebraska","VegBank",42.414533176,-103.749410781,"Absence of ATTR",1997
"136","Nebraska","VegBank",42.414317318,-103.74121147,"Absence of ATTR",1997
"137","Nebraska","VegBank",42.424638691,-103.767770984,"Absence of ATTR",1997
"138","Nebraska","VegBank",42.420943332,-103.735268753,"Absence of ATTR",1997
"139","Nebraska","VegBank",42.416949185,-103.738946725,"Absence of ATTR",1997
"140","Maine","VegBank",44.344726381,-68.206880898,"Absence of ATTR",1997
"141","Maine","VegBank",44.341133047,-68.209312883,"Absence of ATTR",1997
"142","Maine","VegBank",44.319694157,-68.330138939,"Absence of ATTR",1997
"143","Maine","VegBank",44.317187387,-68.317289096,"Absence of ATTR",1997
"144","Maine","VegBank",44.323068303,-68.331342137,"Absence of ATTR",1997
"145","Maine","VegBank",44.319976091,-68.316918196,"Absence of ATTR",1997
"146","Maine","VegBank",44.319924315,-68.32031723,"Absence of ATTR",1997
"147","Maine","VegBank",44.306603639,-68.314904177,"Absence of ATTR",1997
"148","Maine","VegBank",44.363129707,-68.191648333,"Absence of ATTR",1997
"149","Maine","VegBank",44.358884312,-68.187126287,"Absence of ATTR",1997
"150","Maine","VegBank",44.354218242,-68.186764104,"Absence of ATTR",1997
"151","Maine","VegBank",44.369951565,-68.202863321,"Absence of ATTR",1997
"152","Maine","VegBank",44.325574124,-68.188476493,"Absence of ATTR",1997
"153","Maine","VegBank",44.32290317,-68.235969528,"Absence of ATTR",1997
"154","Maine","VegBank",44.321086656,-68.236281524,"Absence of ATTR",1997
