"","STATE","SOURCE","LATITUDE","LONGITUDE","SUB.SPP","Year"
"1","Wyoming","VegBank",44.59011,-104.71524,"Artemisia tridentata Nutt.",1996
"2","North Dakota","VegBank",47.592387844,-103.297534961,"Artemisia tridentata Nutt.",1997
"3","North Dakota","VegBank",47.606110059,-103.334889092,"Artemisia tridentata Nutt.",1997
"4","North Dakota","VegBank",47.60649834,-103.330033707,"Artemisia tridentata Nutt.",1997
"5","North Dakota","VegBank",47.570165054,-103.317242151,"Artemisia tridentata Nutt.",1997
"6","North Dakota","VegBank",46.974386434,-103.434364157,"Artemisia tridentata Nutt.",1997
"7","North Dakota","VegBank",46.973486851,-103.436362537,"Artemisia tridentata Nutt.",1997
"8","North Dakota","VegBank",47.601299017,-103.39182229,"Artemisia tridentata Nutt.",1997
"9","North Dakota","VegBank",47.628300922,-103.40264056,"Artemisia tridentata Nutt.",1997
"10","North Dakota","VegBank",46.974840416,-103.490925416,"Artemisia tridentata Nutt.",1997
"11","North Dakota","VegBank",46.928385856,-103.443824298,"Artemisia tridentata Nutt.",1997
"12","North Dakota","VegBank",46.91145396,-103.425089323,"Artemisia tridentata Nutt.",1997
"13","North Dakota","VegBank",46.937868898,-103.511988514,"Artemisia tridentata Nutt.",1997
"14","North Dakota","VegBank",46.919763712,-103.331382467,"Artemisia tridentata Nutt.",1997
"15","North Dakota","VegBank",46.920928109,-103.331622114,"Artemisia tridentata Nutt.",1997
"16","North Dakota","VegBank",46.925055628,-103.400718126,"Artemisia tridentata Nutt.",1997
"17","North Dakota","VegBank",47.009172042,-103.545858687,"Artemisia tridentata Nutt.",1997
"18","North Dakota","VegBank",47.681807179,-103.385524427,"Artemisia tridentata Nutt.",1997
"19","North Dakota","VegBank",46.913439568,-103.486859639,"Artemisia tridentata Nutt.",1997
"20","North Dakota","VegBank",46.911541793,-103.486939355,"Artemisia tridentata Nutt.",1997
"21","North Dakota","VegBank",46.912181494,-103.493132931,"Artemisia tridentata Nutt.",1997
"22","North Dakota","VegBank",46.913266876,-103.493548994,"Artemisia tridentata Nutt.",1997
"23","North Dakota","VegBank",47.548387702,-103.39364161,"Artemisia tridentata Nutt.",1997
"24","North Dakota","VegBank",47.542258596,-103.354866128,"Artemisia tridentata Nutt.",1997
"25","North Dakota","VegBank",47.60069435,-103.344293735,"Artemisia tridentata Nutt.",1997
"26","North Dakota","VegBank",47.612514718,-103.372968831,"Artemisia tridentata Nutt.",1997
"27","North Dakota","VegBank",47.582239692,-103.393031406,"Artemisia tridentata Nutt.",1997
"28","North Dakota","VegBank",47.609435137,-103.417811819,"Artemisia tridentata Nutt.",1997
"29","Utah","VegBank",37.153504183,-112.882387012,"Artemisia tridentata Nutt.",2000
"30","Utah","VegBank",37.163422766,-112.867880476,"Artemisia tridentata Nutt.",2000
"32","Utah","VegBank",37.249793611,-112.930261694,"Artemisia tridentata Nutt.",2000
"34","Utah","VegBank",37.505004475,-113.196898505,"Artemisia tridentata Nutt.",2000
"36","Utah","VegBank",37.227218614,-113.017181349,"Artemisia tridentata Nutt.",2000
"38","Utah","VegBank",37.351391255,-113.104763841,"Artemisia tridentata Nutt.",2000
