site,longitude,latitude,model,var,mag,baseline,predicted,climate,rings,Comp.1,Comp.2,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
1,-109.5854188,40.29473122,DRS,ppt,0.9,76.66666667,70,warm.Psummer,mid,-2.31853174,-5.614916723,79,177,35,10639,331,-163,494,155,-69,209,-69,194,24,10,24,62,34,50,34
1,-109.583,40.291,DGVM-full-400ppm,temp,2,4.603333333,4.385666667,warm.Psummer,mid,-2.31853174,-5.614916723,79,177,35,10639,331,-163,494,155,-69,209,-69,194,24,10,24,62,34,50,34
1,-109.583,40.291,DGVM-full-400ppm,ppt,0.9,4.603333333,4.464,warm.Psummer,mid,-2.31853174,-5.614916723,79,177,35,10639,331,-163,494,155,-69,209,-69,194,24,10,24,62,34,50,34
1,-109.5854188,40.29473122,randfor,ppt,0.9,30.6903992,25.8978996,warm.Psummer,mid,-2.31853174,-5.614916723,79,177,35,10639,331,-163,494,155,-69,209,-69,194,24,10,24,62,34,50,34
1,-109.5854188,40.29473122,randfor,ppt,1.1,30.6903992,22.1755009,warm.Psummer,mid,-2.31853174,-5.614916723,79,177,35,10639,331,-163,494,155,-69,209,-69,194,24,10,24,62,34,50,34
1,-109.5854188,40.29473122,randfor,ppt,1.2,30.6903992,21.0825996,warm.Psummer,mid,-2.31853174,-5.614916723,79,177,35,10639,331,-163,494,155,-69,209,-69,194,24,10,24,62,34,50,34
1,-109.5854188,40.29473122,DRS,temp,2,76.66666667,83.33333333,warm.Psummer,mid,-2.31853174,-5.614916723,79,177,35,10639,331,-163,494,155,-69,209,-69,194,24,10,24,62,34,50,34
1,-109.583,40.291,DGVM-full-400ppm,temp,4,4.603333333,3.225,warm.Psummer,mid,-2.31853174,-5.614916723,79,177,35,10639,331,-163,494,155,-69,209,-69,194,24,10,24,62,34,50,34
1,-109.583,40.291,DGVM-full-400ppm,temp,0.2,4.603333333,4.937666667,warm.Psummer,mid,-2.31853174,-5.614916723,79,177,35,10639,331,-163,494,155,-69,209,-69,194,24,10,24,62,34,50,34
1,-109.5854188,40.29473122,DRS,temp,0.2,76.66666667,76.66666667,warm.Psummer,mid,-2.31853174,-5.614916723,79,177,35,10639,331,-163,494,155,-69,209,-69,194,24,10,24,62,34,50,34
1,-109.583,40.291,DGVM-full-400ppm,ppt,1.2,4.603333333,6.423,warm.Psummer,mid,-2.31853174,-5.614916723,79,177,35,10639,331,-163,494,155,-69,209,-69,194,24,10,24,62,34,50,34
1,-109.5854188,40.29473122,randfor,temp,4,30.6903992,17.4185009,warm.Psummer,mid,-2.31853174,-5.614916723,79,177,35,10639,331,-163,494,155,-69,209,-69,194,24,10,24,62,34,50,34
1,-109.5854188,40.29473122,DRS,temp,4,76.66666667,70,warm.Psummer,mid,-2.31853174,-5.614916723,79,177,35,10639,331,-163,494,155,-69,209,-69,194,24,10,24,62,34,50,34
1,-109.583,40.291,DGVM-full-400ppm,ppt,1.1,4.603333333,5.289666667,warm.Psummer,mid,-2.31853174,-5.614916723,79,177,35,10639,331,-163,494,155,-69,209,-69,194,24,10,24,62,34,50,34
1,-109.5854188,40.29473122,randfor,temp,2,30.6903992,19.3994007,warm.Psummer,mid,-2.31853174,-5.614916723,79,177,35,10639,331,-163,494,155,-69,209,-69,194,24,10,24,62,34,50,34
1,-109.5854188,40.29473122,AK,temp,4,6.240606461,4.724171646,warm.Psummer,mid,-2.31853174,-5.614916723,79,177,35,10639,331,-163,494,155,-69,209,-69,194,24,10,24,62,34,50,34
1,-109.5854188,40.29473122,DRS,ppt,1.2,76.66666667,76.66666667,warm.Psummer,mid,-2.31853174,-5.614916723,79,177,35,10639,331,-163,494,155,-69,209,-69,194,24,10,24,62,34,50,34
1,-109.5854188,40.29473122,AK,temp,0.2,6.240606461,6.154343608,warm.Psummer,mid,-2.31853174,-5.614916723,79,177,35,10639,331,-163,494,155,-69,209,-69,194,24,10,24,62,34,50,34
1,-109.5854188,40.29473122,AK,temp,2,6.240606461,5.429704973,warm.Psummer,mid,-2.31853174,-5.614916723,79,177,35,10639,331,-163,494,155,-69,209,-69,194,24,10,24,62,34,50,34
1,-109.5854188,40.29473122,DRS,ppt,1.1,76.66666667,76.66666667,warm.Psummer,mid,-2.31853174,-5.614916723,79,177,35,10639,331,-163,494,155,-69,209,-69,194,24,10,24,62,34,50,34
1,-109.5854188,40.29473122,AK,ppt,1.1,6.240606461,6.129626893,warm.Psummer,mid,-2.31853174,-5.614916723,79,177,35,10639,331,-163,494,155,-69,209,-69,194,24,10,24,62,34,50,34
1,-109.5854188,40.29473122,randfor,temp,0.2,30.6903992,25.5869999,warm.Psummer,mid,-2.31853174,-5.614916723,79,177,35,10639,331,-163,494,155,-69,209,-69,194,24,10,24,62,34,50,34
1,-109.5854188,40.29473122,AK,ppt,1.2,6.240606461,6.020620925,warm.Psummer,mid,-2.31853174,-5.614916723,79,177,35,10639,331,-163,494,155,-69,209,-69,194,24,10,24,62,34,50,34
1,-109.5854188,40.29473122,AK,ppt,0.9,6.240606461,6.353595363,warm.Psummer,mid,-2.31853174,-5.614916723,79,177,35,10639,331,-163,494,155,-69,209,-69,194,24,10,24,62,34,50,34
2,-110.0378188,42.00578122,DRS,temp,2,20,26.66666667,warm.Psummer,mid,-0.506901521,-5.919875865,34,180,37,9940,285,-191,476,135,-97,161,-97,190,29,7,44,73,23,62,23
2,-110.041,42.008,DGVM-full-400ppm,temp,0.2,1.927333333,3.652,warm.Psummer,mid,-0.506901521,-5.919875865,34,180,37,9940,285,-191,476,135,-97,161,-97,190,29,7,44,73,23,62,23
2,-110.0378188,42.00578122,DRS,ppt,1.2,20,20,warm.Psummer,mid,-0.506901521,-5.919875865,34,180,37,9940,285,-191,476,135,-97,161,-97,190,29,7,44,73,23,62,23
2,-110.0378188,42.00578122,AK,ppt,1.2,6.240606461,6.046234733,warm.Psummer,mid,-0.506901521,-5.919875865,34,180,37,9940,285,-191,476,135,-97,161,-97,190,29,7,44,73,23,62,23
2,-110.0378188,42.00578122,randfor,ppt,1.1,7.3126702,6.8757601,warm.Psummer,mid,-0.506901521,-5.919875865,34,180,37,9940,285,-191,476,135,-97,161,-97,190,29,7,44,73,23,62,23
2,-110.041,42.008,DGVM-full-400ppm,ppt,1.1,1.927333333,0.955666667,warm.Psummer,mid,-0.506901521,-5.919875865,34,180,37,9940,285,-191,476,135,-97,161,-97,190,29,7,44,73,23,62,23
2,-110.041,42.008,DGVM-full-400ppm,temp,4,1.927333333,5.002666667,warm.Psummer,mid,-0.506901521,-5.919875865,34,180,37,9940,285,-191,476,135,-97,161,-97,190,29,7,44,73,23,62,23
2,-110.041,42.008,DGVM-full-400ppm,ppt,1.2,1.927333333,1.142,warm.Psummer,mid,-0.506901521,-5.919875865,34,180,37,9940,285,-191,476,135,-97,161,-97,190,29,7,44,73,23,62,23
2,-110.0378188,42.00578122,randfor,temp,4,7.3126702,10.2573996,warm.Psummer,mid,-0.506901521,-5.919875865,34,180,37,9940,285,-191,476,135,-97,161,-97,190,29,7,44,73,23,62,23
2,-110.0378188,42.00578122,randfor,temp,0.2,7.3126702,7.2234402,warm.Psummer,mid,-0.506901521,-5.919875865,34,180,37,9940,285,-191,476,135,-97,161,-97,190,29,7,44,73,23,62,23
2,-110.0378188,42.00578122,randfor,ppt,1.2,7.3126702,9.49827,warm.Psummer,mid,-0.506901521,-5.919875865,34,180,37,9940,285,-191,476,135,-97,161,-97,190,29,7,44,73,23,62,23
2,-110.0378188,42.00578122,DRS,temp,0.2,20,23.33333333,warm.Psummer,mid,-0.506901521,-5.919875865,34,180,37,9940,285,-191,476,135,-97,161,-97,190,29,7,44,73,23,62,23
