FID_,sp,ssp,symbol,pctcov,longitude,latitude
,Artemisia tridentata,na,ARTR2,5,-111.7549973,33.9375992
,Artemisia tridentata,na,ARTR2,5,-112.564003,33.9575996
,Artemisia tridentata,na,ARTR2,5,-110.0530014,33.0705986
,Artemisia tridentata,na,ARTR2,5,-113.086998,32.5215988
,Artemisia tridentata,na,ARTR2,10,-113.276001,32.1613007
,Artemisia tridentata,na,ARTR2,10,-113.2229996,34.1221008
,Artemisia tridentata,na,ARTR2,10,-111.935997,33.6814995
,Artemisia tridentata,na,ARTR2,10,-110.9720001,32.2907982
,Artemisia tridentata,na,ARTR2,10,-110.2350006,33.1026993
,Artemisia tridentata,na,ARTR2,10,-109.8580017,34.4403
,Artemisia tridentata,na,ARTR2,10,-109.9550018,34.4567986
,Artemisia tridentata,na,ARTR2,10,-110.1669998,34.4445992
,Artemisia tridentata,na,ARTR2,10,-113.0199966,33.2575989
,Artemisia tridentata,na,ARTR2,10,-113.5879974,34.0714989
,Artemisia tridentata,na,ARTR2,15,-113.8040009,33.7397003
,Artemisia tridentata,na,ARTR2,20,-113.3349991,32.1010017
,Artemisia tridentata,na,ARTR2,20,-113.0979996,34.9953003
,Artemisia tridentata,na,ARTR2,20,-112.901001,34.6383018
,Artemisia tridentata,na,ARTR2,20,-112.8410034,34.4115982
,Artemisia tridentata,na,ARTR2,20,-109.7710037,34.4309998
,Artemisia tridentata,na,ARTR2,30,-112.8359985,34.1133995
,Artemisia tridentata,na,ARTR2,30,-112.1070023,33.7535019
,Artemisia tridentata,na,ARTR2,30,-109.5419998,34.4673004
,Artemisia tridentata,na,ARTR2,35,-112.5800018,33.8787003
,Artemisia tridentata,na,ARTR2,45,-112.5240021,33.8763008
,Artemisia tridentata,na,ARTR2,45,-109.2030029,34.5284996
,Artemisia tridentata,na,ARTR2,60,-111.4830017,32.8783989
,Artemisia tridentata,na,ARTR2,65,-111.4789963,32.8642006
,Artemisia tridentata,na,ARTR2,70,-111.5569992,32.914299
,Artemisia tridentata,na,ARTR2,70,-110.2429962,34.5744019
