longitude,latitude,site
-120.908,46.675,720
-120.875,41.841,657
-120.666,43.533,527
-120.4,47.616,718
-120.4,48.391,703
-120.375,48.358,687
-120.325,47.6,709
-120.316,47.616,700
-120.3,48.641,679
-120.283,46.466,588
-120.2,44.6,602
-119.941,39.774,655
-119.933,39.324,723
-119.925,39.399,716
-119.925,41.275,643
-119.908,45.258,654
-119.9,39.058,724
-119.9,39.191,721
-119.9,39.366,710
-119.883,39.091,714
-119.883,39.158,722
-119.866,39.166,715
-119.85,38.958,694
-119.85,39.366,683
-119.816,38.883,669
-119.783,39.108,652
-119.783,44.258,606
-119.75,43.475,523
-119.75,43.483,521
-119.716,43.541,430
-119.7,38.808,682
-119.691,39.283,672
-119.691,43.483,522
-119.675,38.833,670
-119.675,47.616,518
-119.658,39.866,584
-119.616,37.674,726
-119.608,38.783,671
-119.583,38.899,638
-119.558,38.816,685
-119.525,37.883,725
-119.491,38.791,698
-119.491,38.899,686
-119.491,42.716,421
-119.491,48.375,520
-119.483,38.866,708
-119.466,38.699,594
-119.466,38.849,673
-119.441,37.841,719
-119.433,42.224,424
-119.433,42.716,422
-119.408,42.308,438
-119.375,44.675,642
-119.35,46.75,585
-119.333,38.599,656
-119.316,39.199,366
-119.308,46.233,636
-119.275,38.049,717
-119.275,46.241,635
-119.25,37.941,712
-119.233,37.649,713
-119.225,37.958,711
-119.216,37.949,705
-119.216,38.083,707
-119.2,42.175,446
-119.191,38.049,697
-119.191,40.733,411
-119.175,38.049,684
-119.166,37.991,706
-119.166,41.308,412
-119.133,37.908,696
-119.125,37.891,695
-119.041,42.133,425
-119.025,48.133,517
-119.016,42.133,447
-118.991,42.091,378
-118.958,43.708,534
-118.933,38.283,641
-118.891,42.333,451
-118.891,42.341,423
-118.758,38.449,677
-118.633,40.65,367
-118.516,39.541,324
-118.458,43.225,414
-118.433,46.25,653
-118.358,44.891,678
-118.316,46.6,637
-118.225,45.075,690
-118.191,43.033,416
-118.191,43.041,415
-117.825,44.075,428
-117.8,44.066,429
-117.775,39.491,326
-117.775,43.483,431
-117.766,43.483,432
-117.766,46.091,701
-117.741,46.116,702
-117.716,37.683,256
-117.708,45.916,688
-117.683,37.649,255
-117.616,39.158,306
-117.558,38.566,258
-117.558,44.125,533
-117.558,45.925,676
-117.508,42.925,368
-117.366,45.083,681
-117.325,38.933,573
-117.3,42.116,452
-117.266,42.116,453
-117.158,42.224,445
-117.15,42.249,444
-117.133,42.358,435
-117.133,42.374,434
-117.1,36.583,405
-117,43.475,524
-116.966,43.45,526
-116.95,43.458,525
-116.883,41.55,426
-116.866,48.525,689
-116.8,43.175,611
-116.766,43.116,608
-116.758,42.441,530
-116.758,43.066,617
-116.741,43.116,609
-116.741,43.233,519
-116.733,43.15,607
-116.716,43.116,612
-116.708,43.175,529
-116.708,46.991,699
-116.7,39.716,376
-116.7,39.724,373
-116.683,39.724,374
-116.675,39.724,375
-116.6,39.083,340
-116.591,38.474,301
-116.558,45.008,663
-116.508,38.933,394
-116.491,37.899,377
-116.491,41.358,448
-116.441,44.85,660
-116.416,39.016,346
-116.375,43.858,640
-116.3,36.408,406
-116.175,40.166,372
-116.175,40.175,371
-116.166,44.658,664
-116.166,45.583,665
-116.141,40.191,370
-116.141,43.375,589
-116.141,44.233,661
-116.125,40.216,369
-116.116,43.35,591
-116.108,43.358,595
-116.091,43.358,590
-116.083,43.358,596
-116.05,43.941,662
-115.975,43.916,675
-115.966,41.874,468
-115.916,45.45,646
-115.883,43.741,674
-115.875,41.008,454
-115.741,43.041,503
-115.741,43.05,502
-115.733,43.416,658
-115.7,44.175,647
-115.683,43.25,639
-115.683,43.975,648
-115.675,44.108,645
-115.65,40.05,456
-115.641,44.933,649
-115.608,41.916,483
-115.591,35.816,407
-115.583,43.491,659
-115.583,44.466,627
-115.558,40.891,379
-115.525,39.924,484
-115.525,41.783,629
-115.5,36.449,409
-115.441,43.766,644
-115.4,43.925,621
-115.383,41.749,574
-115.375,36.499,363
-115.341,42.3,440
-115.325,42.283,442
-115.325,42.3,441
-115.325,42.308,439
-115.325,42.316,437
-115.325,42.325,436
-115.325,42.933,504
-115.325,45.158,631
-115.316,42.933,505
-115.316,44.15,562
-115.291,36.799,410
-115.291,42.275,443
-115.291,42.858,512
-115.283,42.858,513
-115.283,43.041,601
-115.266,42.85,514
-115.258,43.333,610
-115.191,42.866,511
-115.191,42.883,508
-115.174,42.875,509
-115.174,42.891,506
-115.166,42.891,507
-115.15,39.399,350
-115.15,43.025,592
-115.15,43.066,598
-115.141,43.025,586
-115.133,43.016,587
-115.133,43.025,593
-115.108,42.875,510
-115.075,35.416,582
-114.966,43.066,599
-114.966,43.075,597
-114.958,39.433,312
-114.958,43.075,603
-114.941,43.066,600
-114.883,40.583,382
-114.883,41.016,392
-114.874,41.175,333
-114.866,41.175,342
-114.841,41.158,344
-114.841,41.166,343
-114.808,44.025,487
-114.791,40.508,393
-114.7,43.883,577
-114.666,39.833,395
-114.658,37.658,427
-114.633,35.049,494
-114.583,42.891,516
-114.541,37.591,325
-114.525,47.975,628
-114.483,34.749,579
-114.366,39.324,259
-114.333,43.275,535
-114.333,43.283,542
-114.316,43.275,536
-114.316,43.408,541
-114.291,43.225,450
-114.283,43.225,528
-114.283,43.258,537
-114.275,43.233,539
-114.275,43.258,538
-114.216,43.241,449
-114.2,43.241,467
-114.191,43.25,466
-114.183,42.2,485
-114.166,39.691,354
-114.141,42.866,419
-114.141,43.5,486
-114.133,42.866,420
-114.133,42.875,417
-114.124,42.875,418
-114.108,42.875,433
-114.083,37.366,413
-114.025,44.683,152
-114.008,44.191,289
-113.983,38.208,307
-113.958,41.499,266
-113.924,43.875,317
-113.916,37.008,408
-113.9,36.666,501
-113.874,36.574,500
-113.841,36.533,499
-113.841,36.766,605
-113.816,37.141,515
-113.808,33.741,495
-113.725,36.449,604
-113.658,41.624,310
-113.633,43.333,390
-113.591,34.066,496
-113.591,41.491,260
-113.533,43.333,391
