"longitude","latitude","site","LT_data","extra","outlier","climate","rings","MAT","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","MAP","bio13","bio14","bio15","bio16","bio17","bio18","bio19","elev","Mgmt_zone","Name","US_L3CODE","US_L3NAME","NA_L3CODE","NA_L3NAME","NA_L2CODE","NA_L2NAME","NA_L1CODE","NA_L1NAME","VEGTYP_LAB","PNV_GROUPS","longitude","latitude","FID","site","RASTERVALU","Value","Count","MUKEY","Data_Source","areasymbol","areaname","musym","muname","SumOfcomppct_r","temp_regime","moisture_subclass","moisture_regime","temp_moist_regime","moist_regime_subclass","temp_moist_regime_subclass","common_name","RR_class","RR_class_name"
-109.5854188,40.29473122,1,0,1,0,"warm.Psummer","mid",79,177,35,10639,331,-163,494,155,-69,209,-69,194,24,10,24,62,34,50,34,1506,"MZ II","Wyoming Basins Management Zone","20","Colorado Plateaus","10.1.6","Colorado Plateaus","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS",NA,"28: Desert shrub",-120.9070188,46.67143122,719,720,"49,121",49121,307206,69051,"gSSURGO","WA677","Yakima County Area, Washington","8","Bocker-Sapkin complex, 0 to 25 percent slopes",95,"Frigid","Typic","Xeric","Frigid-Xeric","Xeric-Typic","Frigid/Xeric-Typic","Cool/moist",1,"High"
-110.0378188,42.00578122,2,0,1,0,"warm.Psummer","mid",34,180,37,9940,285,-191,476,135,-97,161,-97,190,29,7,44,73,23,62,23,1961,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS",NA,"25: Sagebrush",-120.8722188,41.83748122,656,657,"125,911",125911,803355,470517,"gSSURGO","CA703","Modoc National Forest Area, California","202","Lawyer deep-Elmore deep families association, 20 to 40 percent slopes.",85,"Mesic","Typic","Xeric","Mesic-Xeric","Xeric-Typic","Mesic/Xeric-Typic","Warm/moist",2,"Moderate"
-109.8406188,42.15538122,3,0,1,0,"cold.Psummer","mid",25,180,37,9890,274,-201,475,125,-105,151,-105,213,31,10,37,78,31,68,31,2094,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-120.6634188,43.52983122,526,527,"240,332",240332,215528,1689863,"gSSURGO","OR635","Lake County, Oregon, Northern Part, Parts of Lake and Klamath Counties","355","Hayespring-Moonbeam complex, cobbly, 2 to 15 percent slopes",85,"Frigid","Xeric","Aridic","Frigid-Aridic","Aridic bordering on Xeric","Frigid/Aridic bordering on Xeric","Cool/dry bordering on moist",2,"Moderate"
-109.4694188,42.15538122,4,1,0,0,NA,"outer",28,183,37,10166,280,-207,487,130,-109,156,-109,210,31,9,35,77,31,64,31,2024,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-120.3966188,47.61578122,717,718,"48,069",48069,24648,67944,"gSSURGO","WA608","Cashmere Mountain Area, Washington, Parts of Chelan and Okanogan Counties","35","Bagmont gravelly loam, 40 to 90 percent slopes",80,"Cryic","Typic","Xeric","Cryic-Xeric","Xeric-Typic","Cryic/Xeric-Typic","Cold/moist",1,"High"
-108.2746188,44.60508122,5,1,0,0,"warm.Psummer","mid",70,161,34,10072,312,-151,463,125,-63,199,-63,200,35,6,56,90,22,68,22,1281,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS",NA,"28: Desert shrub",-120.3966188,48.39183122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-108.2746188,44.10018122,6,1,0,0,"warm.Psummer","mid",73,165,35,10000,315,-151,466,126,-59,201,-59,210,40,6,58,98,21,68,21,1364,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS",NA,"25: Sagebrush",-120.3734188,48.35443122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-108.0194188,43.10908122,7,1,0,0,"warm.Psummer","mid",73,161,34,10268,319,-150,469,125,-62,205,-62,205,41,6,60,100,19,62,19,1551,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-120.3270188,47.59708122,708,709,"46,352",46352,40353,67475,"gSSURGO","WA608","Cashmere Mountain Area, Washington, Parts of Chelan and Okanogan Counties","167","Loneridge stony loam, 3 to 30 percent slopes",85,"Frigid","Typic","Xeric","Frigid-Xeric","Xeric-Typic","Frigid/Xeric-Typic","Cool/moist",1,"High"
-108.0194188,43.09038122,8,1,0,0,"warm.Psummer","mid",71,161,34,10213,317,-149,466,123,-62,203,-62,207,41,6,59,100,19,62,19,1585,"MZ II","Wyoming Basins Management Zone","18","Wyoming Basin","10.1.4","Wyoming Basin","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","25: Sagebrush",-120.3154188,47.61578122,699,700,"47,973",47973,117257,67819,"gSSURGO","WA608","Cashmere Mountain Area, Washington, Parts of Chelan and Okanogan Counties","30","Ardenmont coarse sandy loam, 60 to 90 percent slopes",85,"Frigid","Typic","Xeric","Frigid-Xeric","Xeric-Typic","Frigid/Xeric-Typic","Cool/moist",1,"High"
-109.1794188,40.50978122,9,1,0,0,"warm.Psummer","mid",80,180,37,10065,332,-151,483,152,-57,206,-57,227,28,11,25,69,40,55,40,1571,"MZ II","Wyoming Basins Management Zone","20","Colorado Plateaus","10.1.6","Colorado Plateaus","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS","Sagebrush steppe","28: Desert shrub",-120.3038188,48.64428122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-109.2490188,40.41628122,10,1,0,0,"warm.Psummer","mid",82,181,36,10523,339,-160,499,156,-63,212,-63,216,27,12,22,66,41,50,41,1463,"MZ II","Wyoming Basins Management Zone","20","Colorado Plateaus","10.1.6","Colorado Plateaus","10.1","COLD DESERTS","10","NORTH AMERICAN DESERTS",NA,"28: Desert shrub",-120.2806188,46.46573122,587,588,"49,091",49091,341195,69021,"gSSURGO","WA677","Yakima County Area, Washington","52","Harwood-Burke-Wiehl silt loams, 8 to 15 percent slopes",80,"Mesic","Xeric","Aridic","Mesic-Aridic","Aridic bordering on Xeric","Mesic/Aridic bordering on Xeric","Warm/dry bordering on moist",3,"Low"
