"longitude","latitude","LT_data","extra","outlier","climate","rings","Comp.1","Comp.2","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","site"
-109.585418792539,40.2947312209583,0,1,0,"warm.Psummer","mid",-2.31853173978464,-5.61491672347336,79,177,35,10639,331,-163,494,155,-69,209,-69,194,24,10,24,62,34,50,34,1
-110.037818792539,42.0057812209583,0,1,0,"warm.Psummer","mid",-0.506901521031618,-5.91987586494442,34,180,37,9940,285,-191,476,135,-97,161,-97,190,29,7,44,73,23,62,23,2
-109.840618792539,42.1553812209583,0,1,0,"cold.Psummer","mid",0.512872034959441,-5.80023381170125,25,180,37,9890,274,-201,475,125,-105,151,-105,213,31,10,37,78,31,68,31,3
-109.469418792539,42.1553812209583,1,0,0,NA,"outer",0.331082524212681,-6.13072352062541,28,183,37,10166,280,-207,487,130,-109,156,-109,210,31,9,35,77,31,64,31,4
-108.274618792539,44.6050812209583,1,0,0,"warm.Psummer","mid",-1.84729354106569,-4.80794014542275,70,161,34,10072,312,-151,463,125,-63,199,-63,200,35,6,56,90,22,68,22,5
-108.274618792539,44.1001812209583,1,0,0,"warm.Psummer","mid",-1.88666224137371,-4.60011706178451,73,165,35,10000,315,-151,466,126,-59,201,-59,210,40,6,58,98,21,68,21,6
-108.019418792539,43.1090812209583,1,0,0,"warm.Psummer","mid",-1.9849917469026,-4.65764706689772,73,161,34,10268,319,-150,469,125,-62,205,-62,205,41,6,60,100,19,62,19,7
-108.019418792539,43.0903812209583,1,0,0,"warm.Psummer","mid",-1.9136356939217,-4.58571893548538,71,161,34,10213,317,-149,466,123,-62,203,-62,207,41,6,59,100,19,62,19,8
-109.179418792539,40.5097812209583,1,0,0,"warm.Psummer","mid",-2.18196129267233,-4.676459831353,80,180,37,10065,332,-151,483,152,-57,206,-57,227,28,11,25,69,40,55,40,9
-109.249018792539,40.4162812209583,1,0,0,"warm.Psummer","mid",-2.23889391704203,-5.20487565194238,82,181,36,10523,339,-160,499,156,-63,212,-63,216,27,12,22,66,41,50,41,10
-109.771018792539,40.3040812209583,0,1,0,"warm.Psummer","mid",-2.28269088452905,-5.13269449033059,77,171,35,10395,324,-157,481,152,-36,205,-67,189,23,10,24,61,34,50,34,11
-107.810618792539,43.8757812209583,1,0,0,"warm.Psummer","mid",-1.42355199040123,-4.64383167238787,72,170,35,10185,321,-161,482,125,-62,204,-62,240,43,8,50,108,28,68,28,12
-108.773418792539,40.0422812209583,0,1,0,"warm.Psummer","mid",-1.40367475016044,-4.99269517941215,79,180,36,10266,329,-159,488,154,-60,209,-60,273,31,13,24,84,44,71,44,13
-109.434618792539,41.8935812209583,0,1,0,"warm.Psummer","mid",-0.0479070951088575,-5.05662210111487,36,173,37,9822,281,-182,463,87,-93,162,-93,209,31,10,35,76,31,63,31,14
-109.260618792539,42.1740812209583,0,1,0,"cold.Psummer","mid",0.548640446216106,-4.94179241933198,32,173,37,9877,277,-189,466,83,-99,158,-99,228,34,11,32,82,37,65,37,15
-109.295418792539,42.0057812209583,1,0,0,"cold.Psummer","mid",0.278068686622268,-4.88721232507388,34,171,37,9828,278,-183,461,85,-95,160,-95,219,32,11,32,78,35,64,35,16
-109.260618792539,41.9964312209583,1,0,0,"cold.Psummer","mid",0.37919293163727,-4.5843538823258,34,169,37,9704,276,-179,455,84,-93,158,-93,225,33,11,32,80,37,65,37,17
-109.249018792539,41.9964312209583,1,0,0,"cold.Psummer","mid",0.179524398226283,-4.74979601828858,36,169,36,9778,279,-178,457,87,-92,162,-92,218,32,11,32,78,35,63,35,18
-109.307018792539,41.9870812209583,1,0,0,"cold.Psummer","mid",0.389160764951259,-4.80538949603048,33,170,37,9784,276,-182,458,83,-95,158,-95,222,32,11,32,79,36,66,36,19
-109.295418792539,41.9870812209583,1,0,0,"cold.Psummer","mid",0.339313090158962,-4.74866678321726,34,170,37,9762,276,-181,457,84,-95,158,-95,220,32,11,31,78,36,64,36,20
-109.249018792539,41.9870812209583,1,0,0,"cold.Psummer","mid",0.190379211080931,-4.76957839335155,36,169,36,9802,279,-178,457,87,-93,162,-93,218,32,11,32,78,35,63,35,21
-109.295418792539,41.9777312209583,1,0,0,"cold.Psummer","mid",0.45120579837209,-4.70059020820011,33,168,36,9730,275,-180,455,83,-94,158,-94,226,32,11,31,79,37,66,37,22
-109.283818792539,41.9777312209583,1,0,0,"cold.Psummer","mid",0.381621605961409,-4.6907471563563,33,169,37,9771,276,-179,455,84,-95,159,-95,223,32,11,32,79,37,66,37,23
-109.249018792539,41.9683812209583,1,0,0,"cold.Psummer","mid",0.148481750374513,-4.67156754370546,37,168,36,9746,279,-176,455,87,-91,162,-91,218,32,11,32,78,35,63,35,24
-109.237418792539,41.9683812209583,1,0,0,"cold.Psummer","mid",0.0966272278449248,-4.66036801990877,38,168,36,9755,280,-175,455,88,-90,163,-90,218,32,11,32,78,35,63,35,25
-109.933418792539,42.6415812209583,1,0,0,"cold.Psummer","mid",1.3261545144021,-5.37162723182382,19,186,39,9647,267,-205,472,118,-108,142,-108,246,35,12,33,88,40,76,40,26
-109.747818792539,42.5013312209583,1,0,0,"cold.Psummer","mid",1.41283113408908,-5.15906421464052,18,180,38,9584,262,-201,463,116,-107,141,-107,244,35,12,32,87,40,75,40,27
-109.736218792539,42.5013312209583,1,0,0,"cold.Psummer","mid",1.43178163455563,-5.15109016689575,18,179,38,9583,262,-201,463,116,-108,141,-108,245,35,12,32,87,40,75,40,28
-109.724618792539,42.5013312209583,1,0,0,"cold.Psummer","mid",1.52340609197506,-5.10884074396565,17,178,38,9557,260,-201,461,114,-108,140,-108,248,35,12,33,89,40,77,40,29
-109.701418792539,42.5013312209583,1,0,0,"cold.Psummer","mid",1.43789186229516,-5.13057965212515,18,179,38,9578,262,-200,462,116,-107,141,-107,247,35,12,32,88,40,76,40,30
-109.689818792539,42.5013312209583,1,0,0,"cold.Psummer","mid",1.41370917116127,-5.14045288997047,19,179,38,9597,262,-200,462,116,-107,142,-107,246,35,12,32,88,40,76,40,31
-109.666618792539,42.5013312209583,1,0,0,"cold.Psummer","mid",1.48007388894558,-5.01734989793776,18,177,38,9555,261,-199,460,115,-107,141,-107,249,36,12,33,89,40,76,40,32
