"longitude","latitude","model","var","mag","baseline","predicted"
-105.2242,43.6412,"DGVM-full-400ppm","tmean",2,0.141,0.13214
-105.2242,43.6412,"DGVM-full-400ppm","ppt",1.2,0.141,0.16803
-105.2242,43.6412,"DGVM-full-400ppm","tmean",0.2,0.141,0.13971
-105.2242,43.6412,"DGVM-full-400ppm","tmean",4,0.141,0.10521
-105.2242,43.6412,"DGVM-full-400ppm","ppt",1.1,0.141,0.170776666666667
-105.2242,43.6412,"DGVM-full-400ppm","ppt",0.9,0.141,0.1022
-105.2242,43.6496,"DGVM-full-400ppm","ppt",1.2,0.125106666666667,0.18627
-105.2242,43.6496,"DGVM-full-400ppm","tmean",2,0.125106666666667,0.121683333333333
-105.2242,43.6496,"DGVM-full-400ppm","ppt",0.9,0.125106666666667,0.120823333333333
-105.2242,43.6496,"DGVM-full-400ppm","ppt",1.1,0.125106666666667,0.17374
-105.2242,43.6496,"DGVM-full-400ppm","tmean",0.2,0.125106666666667,0.152213333333333
-105.2242,43.6496,"DGVM-full-400ppm","tmean",4,0.125106666666667,0.11174
-105.2325,43.6662,"DGVM-full-400ppm","tmean",2,0.14619,0.124533333333333
-105.2325,43.6662,"DGVM-full-400ppm","ppt",0.9,0.14619,0.115776666666667
-105.2325,43.6662,"DGVM-full-400ppm","tmean",0.2,0.14619,0.135816666666667
-105.2325,43.6662,"DGVM-full-400ppm","tmean",4,0.14619,0.103026666666667
-105.2325,43.6662,"DGVM-full-400ppm","ppt",1.2,0.14619,0.16947
-105.2325,43.6662,"DGVM-full-400ppm","ppt",1.1,0.14619,0.163696666666667
-105.2492,43.6412,"DGVM-full-400ppm","tmean",0.2,0.133543333333333,0.136613333333333
-105.2492,43.6412,"DGVM-full-400ppm","tmean",2,0.133543333333333,0.159053333333333
-105.2492,43.6412,"DGVM-full-400ppm","ppt",1.1,0.133543333333333,0.146583333333333
-105.2492,43.6412,"DGVM-full-400ppm","ppt",0.9,0.133543333333333,0.122103333333333
-105.2492,43.6412,"DGVM-full-400ppm","tmean",4,0.133543333333333,0.10857
-105.2492,43.6412,"DGVM-full-400ppm","ppt",1.2,0.133543333333333,0.180906666666667
-105.2492,43.6496,"DGVM-full-400ppm","tmean",4,0.15495,0.10773
-105.2492,43.6496,"DGVM-full-400ppm","ppt",1.2,0.15495,0.146216666666667
-105.2492,43.6496,"DGVM-full-400ppm","tmean",2,0.15495,0.122416666666667
-105.2492,43.6496,"DGVM-full-400ppm","ppt",0.9,0.15495,0.13461
-105.2492,43.6496,"DGVM-full-400ppm","tmean",0.2,0.15495,0.133863333333333
-105.2492,43.6496,"DGVM-full-400ppm","ppt",1.1,0.15495,0.15538
-105.2575,43.6662,"DGVM-full-400ppm","tmean",0.2,0.12138,0.133426666666667
-105.2575,43.6662,"DGVM-full-400ppm","tmean",4,0.12138,0.10654
-105.2575,43.6662,"DGVM-full-400ppm","ppt",1.1,0.12138,0.140226666666667
-105.2575,43.6662,"DGVM-full-400ppm","ppt",0.9,0.12138,0.119446666666667
-105.2575,43.6662,"DGVM-full-400ppm","ppt",1.2,0.12138,0.164363333333333
