"model","site","longitude","latitude","baseline","predicted","scenario","GCM"
"DGVM",182,-105.224,43.641,0.13616,0.17175,"rcp45","CCSM4"
"DGVM",182,-105.224,43.641,0.13674,0.2127,"rcp85","CCSM4"
"DGVM",182,-105.224,43.641,0.147288571428571,0.180536666666667,"rcp45","CESM1-CAM5"
"DGVM",182,-105.224,43.641,0.134945714285714,0.194283333333333,"rcp85","CESM1-CAM5"
"DGVM",182,-105.224,43.641,0.111454285714286,0.153406666666667,"rcp45","GISS-E2-H-CC"
"DGVM",182,-105.224,43.641,0.108065714285714,0.19664,"rcp85","GISS-E2-H-CC"
"DGVM",182,-105.224,43.641,0.0948571428571429,0.122793333333333,"rcp45","HadGEM2-AO"
"DGVM",182,-105.224,43.641,0.0941257142857143,0.14453,"rcp85","HadGEM2-AO"
"DGVM",182,-105.224,43.641,0.125397142857143,0.174146666666667,"rcp45","MPI-ESM-LR"
"DGVM",182,-105.224,43.641,0.126331428571429,0.16735,"rcp85","MPI-ESM-LR"
"DGVM",180,-105.224,43.65,0.141705714285714,0.140186666666667,"rcp45","CCSM4"
"DGVM",180,-105.224,43.65,0.14228,0.198603333333333,"rcp85","CCSM4"
"DGVM",180,-105.224,43.65,0.133788571428571,0.1825,"rcp45","CESM1-CAM5"
"DGVM",180,-105.224,43.65,0.143408571428571,0.19485,"rcp85","CESM1-CAM5"
"DGVM",180,-105.224,43.65,0.122794285714286,0.159316666666667,"rcp45","GISS-E2-H-CC"
"DGVM",180,-105.224,43.65,0.119408571428571,0.171283333333333,"rcp85","GISS-E2-H-CC"
"DGVM",180,-105.224,43.65,0.122977142857143,0.13656,"rcp45","HadGEM2-AO"
"DGVM",180,-105.224,43.65,0.121322857142857,0.143246666666667,"rcp85","HadGEM2-AO"
"DGVM",180,-105.224,43.65,0.132331428571429,0.157046666666667,"rcp45","MPI-ESM-LR"
"DGVM",180,-105.224,43.65,0.133405714285714,0.169236666666667,"rcp85","MPI-ESM-LR"
"DGVM",178,-105.233,43.666,0.138285714285714,0.17079,"rcp45","CCSM4"
"DGVM",178,-105.233,43.666,0.137077142857143,0.178296666666667,"rcp85","CCSM4"
"DGVM",178,-105.233,43.666,0.134511428571429,0.16349,"rcp45","CESM1-CAM5"
"DGVM",178,-105.233,43.666,0.141348571428571,0.200463333333333,"rcp85","CESM1-CAM5"
"DGVM",178,-105.233,43.666,0.114268571428571,0.16244,"rcp45","GISS-E2-H-CC"
"DGVM",178,-105.233,43.666,0.11266,0.20182,"rcp85","GISS-E2-H-CC"
"DGVM",178,-105.233,43.666,0.101442857142857,0.12189,"rcp45","HadGEM2-AO"
"DGVM",178,-105.233,43.666,0.0999828571428571,0.1402,"rcp85","HadGEM2-AO"
"DGVM",178,-105.233,43.666,0.120754285714286,0.165726666666667,"rcp45","MPI-ESM-LR"
"DGVM",178,-105.233,43.666,0.122054285714286,0.19186,"rcp85","MPI-ESM-LR"
"DGVM",181,-105.249,43.641,0.129211428571429,0.168806666666667,"rcp45","CCSM4"
"DGVM",181,-105.249,43.641,0.12976,0.19266,"rcp85","CCSM4"
"DGVM",181,-105.249,43.641,0.132011428571429,0.168826666666667,"rcp45","CESM1-CAM5"
"DGVM",181,-105.249,43.641,0.153211428571429,0.188623333333333,"rcp85","CESM1-CAM5"
"DGVM",181,-105.249,43.641,0.105891428571429,0.156423333333333,"rcp45","GISS-E2-H-CC"
"DGVM",181,-105.249,43.641,0.106508571428571,0.17938,"rcp85","GISS-E2-H-CC"
"DGVM",181,-105.249,43.641,0.105045714285714,0.125733333333333,"rcp45","HadGEM2-AO"
"DGVM",181,-105.249,43.641,0.104365714285714,0.144836666666667,"rcp85","HadGEM2-AO"
"DGVM",181,-105.249,43.641,0.132837142857143,0.159853333333333,"rcp45","MPI-ESM-LR"
"DGVM",181,-105.249,43.641,0.134254285714286,0.184086666666667,"rcp85","MPI-ESM-LR"
"DGVM",179,-105.249,43.65,0.14668,0.16681,"rcp45","CCSM4"
"DGVM",179,-105.249,43.65,0.146097142857143,0.18195,"rcp85","CCSM4"
"DGVM",179,-105.249,43.65,0.132671428571429,0.164786666666667,"rcp45","CESM1-CAM5"
"DGVM",179,-105.249,43.65,0.144397142857143,0.220556666666667,"rcp85","CESM1-CAM5"
"DGVM",179,-105.249,43.65,0.127771428571429,0.179526666666667,"rcp45","GISS-E2-H-CC"
"DGVM",179,-105.249,43.65,0.125508571428571,0.193576666666667,"rcp85","GISS-E2-H-CC"
"DGVM",179,-105.249,43.65,0.104102857142857,0.12155,"rcp45","HadGEM2-AO"
"DGVM",179,-105.249,43.65,0.103625714285714,0.136096666666667,"rcp85","HadGEM2-AO"
"DGVM",179,-105.249,43.65,0.132348571428571,0.153193333333333,"rcp45","MPI-ESM-LR"
"DGVM",179,-105.249,43.65,0.132431428571429,0.189396666666667,"rcp85","MPI-ESM-LR"
"DGVM",177,-105.257,43.666,0.151828571428571,0.161576666666667,"rcp45","CCSM4"
"DGVM",177,-105.257,43.666,0.152911428571429,0.18069,"rcp85","CCSM4"
"DGVM",177,-105.257,43.666,0.130085714285714,0.192486666666667,"rcp45","CESM1-CAM5"
"DGVM",177,-105.257,43.666,0.149388571428571,0.193643333333333,"rcp85","CESM1-CAM5"
"DGVM",177,-105.257,43.666,0.121025714285714,0.164626666666667,"rcp45","GISS-E2-H-CC"
"DGVM",177,-105.257,43.666,0.118008571428571,0.17724,"rcp85","GISS-E2-H-CC"
"DGVM",177,-105.257,43.666,0.0967628571428572,0.130613333333333,"rcp45","HadGEM2-AO"
"DGVM",177,-105.257,43.666,0.0956514285714286,0.16081,"rcp85","HadGEM2-AO"
"DGVM",177,-105.257,43.666,0.11424,0.150113333333333,"rcp45","MPI-ESM-LR"
"DGVM",177,-105.257,43.666,0.11482,0.19697,"rcp85","MPI-ESM-LR"
"DGVM",175,-105.257,43.683,0.1446,0.172993333333333,"rcp45","CCSM4"
"DGVM",175,-105.257,43.683,0.144517142857143,0.19211,"rcp85","CCSM4"
"DGVM",175,-105.257,43.683,0.119054285714286,0.183303333333333,"rcp45","CESM1-CAM5"
"DGVM",175,-105.257,43.683,0.136454285714286,0.19871,"rcp85","CESM1-CAM5"
