model ,site,lon,lat,baseline,predicted,scenario
randfor,1,-109.5854188,40.29473122,30.6903992,25.5869999,02inctemp
randfor,1,-109.5854188,40.29473122,30.6903992,19.3994007,2inctemp
randfor,1,-109.5854188,40.29473122,30.6903992,17.4185009,4inctemp
randfor,1,-109.5854188,40.29473122,30.6903992,25.8978996,ppt10dec
randfor,1,-109.5854188,40.29473122,30.6903992,22.1755009,ppt10inc
randfor,1,-109.5854188,40.29473122,30.6903992,21.0825996,ppt20inc
randfor,2,-110.0378188,42.00578122,7.3126702,7.2234402,02inctemp
randfor,2,-110.0378188,42.00578122,7.3126702,5.14007,2inctemp
randfor,2,-110.0378188,42.00578122,7.3126702,10.2573996,4inctemp
randfor,2,-110.0378188,42.00578122,7.3126702,6.6641202,ppt10dec
randfor,2,-110.0378188,42.00578122,7.3126702,6.8757601,ppt10inc
randfor,2,-110.0378188,42.00578122,7.3126702,9.49827,ppt20inc
randfor,3,-109.8406188,42.15538122,14.8165998,14.1100998,02inctemp
randfor,3,-109.8406188,42.15538122,14.8165998,13.3849001,2inctemp
randfor,3,-109.8406188,42.15538122,14.8165998,16.2759991,4inctemp
randfor,3,-109.8406188,42.15538122,14.8165998,11.9193001,ppt10dec
randfor,3,-109.8406188,42.15538122,14.8165998,14.7153997,ppt10inc
randfor,3,-109.8406188,42.15538122,14.8165998,14.7126999,ppt20inc
randfor,4,-109.4694188,42.15538122,5.4538002,5.3400002,02inctemp
randfor,4,-109.4694188,42.15538122,5.4538002,6.0237598,2inctemp
randfor,4,-109.4694188,42.15538122,5.4538002,12.5777998,4inctemp
randfor,4,-109.4694188,42.15538122,5.4538002,5.8224602,ppt10dec
randfor,4,-109.4694188,42.15538122,5.4538002,7.5203099,ppt10inc
randfor,4,-109.4694188,42.15538122,5.4538002,8.9538498,ppt20inc
randfor,5,-108.2746188,44.60508122,6.7783399,6.30582,02inctemp
randfor,5,-108.2746188,44.60508122,6.7783399,6.1886301,2inctemp
randfor,5,-108.2746188,44.60508122,6.7783399,13.5928001,4inctemp
randfor,5,-108.2746188,44.60508122,6.7783399,9.1241903,ppt10dec
randfor,5,-108.2746188,44.60508122,6.7783399,4.3491101,ppt10inc
randfor,5,-108.2746188,44.60508122,6.7783399,4.33183,ppt20inc
randfor,6,-108.2746188,44.10018122,4.0004301,3.30181,02inctemp
randfor,6,-108.2746188,44.10018122,4.0004301,6.0805402,2inctemp
randfor,6,-108.2746188,44.10018122,4.0004301,13.0072002,4inctemp
randfor,6,-108.2746188,44.10018122,4.0004301,4.35883,ppt10dec
randfor,6,-108.2746188,44.10018122,4.0004301,3.9601901,ppt10inc
randfor,6,-108.2746188,44.10018122,4.0004301,4.8521399,ppt20inc
randfor,7,-108.0194188,43.10908122,3.4488599,3.76298,02inctemp
randfor,7,-108.0194188,43.10908122,3.4488599,6.3601198,2inctemp
randfor,7,-108.0194188,43.10908122,3.4488599,13.4741001,4inctemp
randfor,7,-108.0194188,43.10908122,3.4488599,6.9377398,ppt10dec
randfor,7,-108.0194188,43.10908122,3.4488599,3.6823599,ppt10inc
randfor,7,-108.0194188,43.10908122,3.4488599,4.37395,ppt20inc
randfor,8,-108.0194188,43.09038122,4.0414801,4.4590602,02inctemp
randfor,8,-108.0194188,43.09038122,4.0414801,6.8779998,2inctemp
randfor,8,-108.0194188,43.09038122,4.0414801,13.9235001,4inctemp
randfor,8,-108.0194188,43.09038122,4.0414801,7.1552401,ppt10dec
randfor,8,-108.0194188,43.09038122,4.0414801,3.7576599,ppt10inc
randfor,8,-108.0194188,43.09038122,4.0414801,4.6636901,ppt20inc
randfor,9,-109.1794188,40.50978122,6.1979198,7.8678699,02inctemp
randfor,9,-109.1794188,40.50978122,6.1979198,11.6379004,2inctemp
randfor,9,-109.1794188,40.50978122,6.1979198,13.0616999,4inctemp
randfor,9,-109.1794188,40.50978122,6.1979198,10.1127005,ppt10dec
randfor,9,-109.1794188,40.50978122,6.1979198,12.7750998,ppt10inc
randfor,9,-109.1794188,40.50978122,6.1979198,18.4374008,ppt20inc
randfor,10,-109.2490188,40.41628122,8.2783098,8.9153299,02inctemp
randfor,10,-109.2490188,40.41628122,8.2783098,10.4965,2inctemp
randfor,10,-109.2490188,40.41628122,8.2783098,10.6261997,4inctemp
randfor,10,-109.2490188,40.41628122,8.2783098,12.2496004,ppt10dec
randfor,10,-109.2490188,40.41628122,8.2783098,13.7363005,ppt10inc
randfor,10,-109.2490188,40.41628122,8.2783098,18.0720997,ppt20inc
randfor,11,-109.7710188,40.30408122,20.1098003,21.0897999,02inctemp
randfor,11,-109.7710188,40.30408122,20.1098003,16.9598007,2inctemp
randfor,11,-109.7710188,40.30408122,20.1098003,17.552,4inctemp
randfor,11,-109.7710188,40.30408122,20.1098003,20.4957008,ppt10dec
randfor,11,-109.7710188,40.30408122,20.1098003,19.4857998,ppt10inc
randfor,11,-109.7710188,40.30408122,20.1098003,17.6613998,ppt20inc
randfor,12,-107.8106188,43.87578122,3.75741,3.7736199,02inctemp
randfor,12,-107.8106188,43.87578122,3.75741,10.3579998,2inctemp
randfor,12,-107.8106188,43.87578122,3.75741,13.5319996,4inctemp
randfor,12,-107.8106188,43.87578122,3.75741,4.3022299,ppt10dec
randfor,12,-107.8106188,43.87578122,3.75741,5.2427101,ppt10inc
randfor,12,-107.8106188,43.87578122,3.75741,6.5244002,ppt20inc
randfor,13,-108.7734188,40.04228122,19.4419003,20.9438,02inctemp
randfor,13,-108.7734188,40.04228122,19.4419003,19.7185993,2inctemp
randfor,13,-108.7734188,40.04228122,19.4419003,18.8945999,4inctemp
randfor,13,-108.7734188,40.04228122,19.4419003,19.4183998,ppt10dec
randfor,13,-108.7734188,40.04228122,19.4419003,17.9377995,ppt10inc
randfor,13,-108.7734188,40.04228122,19.4419003,23.1471996,ppt20inc
randfor,14,-109.4346188,41.89358122,1.93088,2.0620201,02inctemp
